Company,LevelAudition,Name,ep2,ep4,ep6
"Beijing Why Entertainment Co., Ltd.",C,Zhong Zhuorong / Jeremy,99,91,99
YG ENTERTAINMENT BEIJING LIMITED,C,Yi Xuan / KINGSTON,46,38,31
YG ENTERTAINMENT BEIJING LIMITED,B,Chen Jinxin / JAYDEN,76,86,102
GAOYIBAI STUDIO,N,Gao Yibai / Hosky,19,32,54
YC,N,Liang Hongli / Evaldo,37,84,64
TheYoung Entertainment,A,Liang Sen,6,3,3
"Beijing Youhug Media Co., Ltd.",A,Luo Yizhou,48,19,16
"Beijing Youhug Media Co., Ltd.",C,Chen Jianyu / DeDe,35,54,66
"Beijing Youhug Media Co., Ltd.",C,Jiang Zhihao / Ian,98,107,114
"Beijing Youhug Media Co., Ltd.",C,Kong Xiangchi / KK,107,109,105
YI HUA ENTERTAINMENT,N,Tang Jiuzhou / JOJO,3,5,5
YI HUA ENTERTAINMENT,C,Liu Qi,97,76,52
YI HUA ENTERTAINMENT,C,Zhang Jingyun,51,68,70
